module,project,repo,stars_2026_08_05,priority,license,kind,tags,architect_note
Agent Runtime,LangGraph,https://github.com/langchain-ai/langgraph,38902,P0,MIT,Agent-native,state;checkpoint;interrupt;streaming,有状态可恢复 Agent Runtime 的首选源码样本
Agent Runtime,OpenAI Agents SDK Python,https://github.com/openai/openai-agents-python,28388,P0,MIT,Agent-native,loop;handoff;guardrail;trace,用最小抽象观察 Agent loop 和 handoff
Agent Runtime,OpenAI Agents SDK JS,https://github.com/openai/openai-agents-js,3530,P1,MIT,Agent-native,typescript;voice;handoff,研究 JS 和 voice agent 路线
Agent Runtime,Google ADK Python,https://github.com/google/adk-python,21007,P0,Apache-2.0,Agent-native,session;artifact;eval;deployment;A2A,企业 Agent 生命周期覆盖完整
Agent Runtime,Microsoft Agent Framework,https://github.com/microsoft/agent-framework,12596,P0,需复核,Agent-native,python;dotnet;workflow;deployment,Microsoft 新统一路线需与 AutoGen/SK 对照
Agent Runtime,AutoGen,https://github.com/microsoft/autogen,60229,P1,CC-BY-4.0,Agent-native,multi-agent;message;runtime,历史影响大但需核验与新 Agent Framework 的演进关系
Agent Runtime,CrewAI,https://github.com/crewAIInc/crewAI,56633,P1,MIT,Agent-native,crew;role;task;flow,角色协作和 Flow 双层抽象
Agent Runtime,PydanticAI,https://github.com/pydantic/pydantic-ai,19061,P1,MIT,Agent-native,typed-output;dependency;test,类型化工具和结构化输出
Agent Runtime,Semantic Kernel,https://github.com/microsoft/semantic-kernel,28419,P1,MIT,Agent-native,plugin;filter;connector;enterprise,企业集成与插件过滤器
Agent Runtime,Agno,https://github.com/agno-agi/agno,41577,P1,Apache-2.0,Agent-native,agent;team;knowledge;platform,Agent 到平台管理的一体化实现
Agent Runtime,Mastra,https://github.com/mastra-ai/mastra,26925,P1,需复核,Agent-native,typescript;workflow;eval;observability,TypeScript Agent 工程栈
Agent Runtime,Strands Harness SDK,https://github.com/strands-agents/harness-sdk,6796,P1,需复核,Agent-native,harness;python;typescript;cloud,原 sdk-python 已重定向到 harness-sdk
Multi-Agent,CAMEL,https://github.com/camel-ai/camel,17544,P1,需复核,Agent-native,role-playing;society;scaling,多 Agent 社会与规模化研究
Multi-Agent,AgentScope,https://github.com/agentscope-ai/agentscope,28577,P1,需复核,Agent-native,multi-agent;observability;runtime,国内多 Agent Runtime 代表
Multi-Agent,MetaGPT,https://github.com/FoundationAgents/MetaGPT,69665,P2,MIT,Agent-application,software-process;role;artifact,以角色和中间产物模拟软件组织
Durable Execution,Temporal,https://github.com/temporalio/temporal,22102,P0,MIT,Supporting,event-history;replay;retry;timer,验证状态恢复与业务副作用一致性
Durable Execution,Restate,https://github.com/restatedev/restate,4253,P1,需复核,Supporting,durable-function;journal;virtual-object,轻量 durable execution 路线
Durable Execution,DBOS Transact Python,https://github.com/dbos-inc/dbos-transact-py,1513,P1,MIT,Supporting,database;transaction;workflow,数据库支撑的 Python 持久化工作流
Context Manager,context-mode,https://github.com/mksglu/context-mode,19628,P0,需复核,Agent-native,token;compression;tool-output;MCP;hooks,独立 Context Manager 的直接样本
Context Manager,OpenViking,https://github.com/volcengine/OpenViking,27925,P0,AGPL-3.0,Agent-native,context-database;memory;knowledge;skills,统一 Memory/Knowledge/Skills 的 Context Database
Context Manager,Aider,https://github.com/Aider-AI/aider,47945,P0,Apache-2.0,Agent-application,repo-map;token-budget;code-context,代码图和 token 预算的成熟实现
Context Manager,Continue,https://github.com/continuedev/continue,35323,P1,Apache-2.0,Agent-application,context-provider;index;rules;IDE,IDE 场景上下文装配
Context Manager,TrustGraph,https://github.com/trustgraph-ai/trustgraph,2431,P2,Apache-2.0,Agent-native,ontology;context-graph;deterministic,本体和 Context Graph 路线
